#,공급사,과세/면세,담기,매입가,상품명(기본),상품코드,재입고알림,제조사,카테고리,판매가,품절여부,후기
790,패커스,면세,0,105000,미소찬 진후추 200g 50팩 (박스 상품),1151,사용함,자체제작,"050 : 식자재
050001 : 식자재 > 한식 식자재
050001001 : 식자재 > 한식 식자재 > 파우더",121300,정상,0
791,패커스,과세,17,35200,210파이 중화면 전용 뚜껑 300개 1박스,1139,사용함,자체제작,"039001 : 중식 용기 > 면/볶음밥용기
039 : 중식 용기
061 : vol.4 Catalogue
061018 : vol.4 Catalogue > 카달로그_19",36500,정상,14
792,패커스,과세,0,55000,[215 몰드 추가 구매],1135,사용함,자체제작,019 : 실링기계,86000,정상,0
793,패커스,과세,0,38500,[250 몰드 추가 구매],1134,사용함,자체제작,019 : 실링기계,64000,정상,0
794,패커스,과세,0,27000,[201H 몰드 추가 구매],1133,사용함,자체제작,"042 : 실링제품
042002 : 실링제품 > 실링기계",44000,정상,0
795,패커스,과세,0,258500,실링기계 201H 수동 식품포장 몰드교체형 몰드1개포함,1132,사용함,자체제작,"042 : 실링제품
042002 : 실링제품 > 실링기계",350000,정상,0
796,패커스,과세,3,324500,실링기계 250 수동 식품포장 몰드교체형 몰드1개포함,1131,사용함,자체제작,"042 : 실링제품
042002 : 실링제품 > 실링기계",400000,정상,0
797,패커스,과세,2,94600,190파이 고강도 미니탕용기 투명 400개 1set(2박스),1127,사용함,자체제작,"024 : 음식종류별
024001 : 음식종류별 > 한식
024005 : 음식종류별 > 찌개
011 : 탕/면/찌개용기
011001 : 탕/면/찌개용기 > 190(195)파이
038 : 한식(분식) 용기
038001 : 한식(분식) 용기 > 탕/찜/죽/면용기
038001001 : 한식(분식) 용기 > 탕/찜/죽/면용기 > 탕용기
040 : 일식 용기
040001 : 일식 용기 > 탕/찜/면용기/회접시
040001001 : 일식 용기 > 탕/찜/면용기/회접시 > 탕용기
041 : 양식 용기
041001 : 양식 용기 > 탕/찜/죽/면용기
041001001 : 양식 용기 > 탕/찜/죽/면용기 > 탕용기
039 : 중식 용기
039001 : 중식 용기 > 면/볶음밥용기",118250,정상,2
798,패커스,과세,5,94600,190파이 고강도 미니탕용기 백색 400개 1set(2박스),1126,사용함,자체제작,"024 : 음식종류별
024001 : 음식종류별 > 한식
024005 : 음식종류별 > 찌개
011 : 탕/면/찌개용기
011001 : 탕/면/찌개용기 > 190(195)파이
038 : 한식(분식) 용기
038001 : 한식(분식) 용기 > 탕/찜/죽/면용기
038001001 : 한식(분식) 용기 > 탕/찜/죽/면용기 > 탕용기
040 : 일식 용기
040001 : 일식 용기 > 탕/찜/면용기/회접시
040001001 : 일식 용기 > 탕/찜/면용기/회접시 > 탕용기
041 : 양식 용기
041001 : 양식 용기 > 탕/찜/죽/면용기
041001001 : 양식 용기 > 탕/찜/죽/면용기 > 탕용기
039 : 중식 용기
039001 : 중식 용기 > 면/볶음밥용기",118250,정상,3
799,패커스,과세,1,52800,어린이 죽용기 소 300ml 600개 1set(2박스/사각반죽),1124,사용함,자체제작,"024 : 음식종류별
024006 : 음식종류별 > 죽
024004 : 음식종류별 > 반찬/소스
013 : 샐러드/야채/반찬용기
013001 : 샐러드/야채/반찬용기 > 1칸
010 : 죽용기
010001 : 죽용기 > 사각용기
038 : 한식(분식) 용기
038001 : 한식(분식) 용기 > 탕/찜/죽/면용기
038001003 : 한식(분식) 용기 > 탕/찜/죽/면용기 > 죽용기
061 : vol.4 Catalogue
061008 : vol.4 Catalogue > 카달로그_8",71220,정상,2
800,패커스,과세,3,59400,어린이 죽용기 대 400ml 600개 1set(2박스/사각반죽),1123,사용함,자체제작,"038 : 한식(분식) 용기
038001 : 한식(분식) 용기 > 탕/찜/죽/면용기
040 : 일식 용기
040001 : 일식 용기 > 탕/찜/면용기/회접시
041 : 양식 용기
041001 : 양식 용기 > 탕/찜/죽/면용기
038001003 : 한식(분식) 용기 > 탕/찜/죽/면용기 > 죽용기
061 : vol.4 Catalogue
061008 : vol.4 Catalogue > 카달로그_8",79620,정상,4
801,패커스,과세,14,99000,200파이 고강도 냉면용기 중 400개 1set(2박스),1122,사용함,자체제작,"038 : 한식(분식) 용기
038001 : 한식(분식) 용기 > 탕/찜/죽/면용기
040 : 일식 용기
040001 : 일식 용기 > 탕/찜/면용기/회접시
041 : 양식 용기
041001 : 양식 용기 > 탕/찜/죽/면용기
038001004 : 한식(분식) 용기 > 탕/찜/죽/면용기 > 면용기
040001003 : 일식 용기 > 탕/찜/면용기/회접시 > 면용기
041001004 : 양식 용기 > 탕/찜/죽/면용기 > 면용기
039 : 중식 용기
039001 : 중식 용기 > 면/볶음밥용기
038001001 : 한식(분식) 용기 > 탕/찜/죽/면용기 > 탕용기
038001003 : 한식(분식) 용기 > 탕/찜/죽/면용기 > 죽용기
038001002 : 한식(분식) 용기 > 탕/찜/죽/면용기 > 찜용기",133220,정상,10
802,패커스,과세,5,69300,220파이 고강도 냉면용기 대 200개 1set(2박스),1121,사용함,자체제작,"038 : 한식(분식) 용기
038001 : 한식(분식) 용기 > 탕/찜/죽/면용기
040 : 일식 용기
040001 : 일식 용기 > 탕/찜/면용기/회접시
041 : 양식 용기
041001 : 양식 용기 > 탕/찜/죽/면용기
038001004 : 한식(분식) 용기 > 탕/찜/죽/면용기 > 면용기
040001003 : 일식 용기 > 탕/찜/면용기/회접시 > 면용기
041001004 : 양식 용기 > 탕/찜/죽/면용기 > 면용기
039 : 중식 용기
039001 : 중식 용기 > 면/볶음밥용기
038001001 : 한식(분식) 용기 > 탕/찜/죽/면용기 > 탕용기
038001003 : 한식(분식) 용기 > 탕/찜/죽/면용기 > 죽용기
038001002 : 한식(분식) 용기 > 탕/찜/죽/면용기 > 찜용기",94470,정상,15
803,패커스,과세,25,42900,"70파이 다용도컵 세트 1호 소 70ml 블랙 PS-3,000개 1set(2박스)",1091,사용함,자체제작,"038 : 한식(분식) 용기
038002 : 한식(분식) 용기 > 소스/국/밥용기
039 : 중식 용기
039003 : 중식 용기 > 소스/국/밥용기
040 : 일식 용기
040002 : 일식 용기 > 소스/국/밥용기
041 : 양식 용기
041002 : 양식 용기 > 소스/국/밥용기
038003 : 한식(분식) 용기 > 떡/반찬용기
038003002 : 한식(분식) 용기 > 떡/반찬용기 > 반찬용기
061 : vol.4 Catalogue
061014 : vol.4 Catalogue > 카달로그_15",55870,정상,16
804,패커스,과세,1,82500,"95파이 고강도 다용도컵 세트 4호 대 270ml 백색 PP-1,000개 1set(2박스)",1090,사용함,자체제작,"038 : 한식(분식) 용기
038002 : 한식(분식) 용기 > 소스/국/밥용기
039 : 중식 용기
039003 : 중식 용기 > 소스/국/밥용기
040 : 일식 용기
040002 : 일식 용기 > 소스/국/밥용기
041 : 양식 용기
041002 : 양식 용기 > 소스/국/밥용기
061 : vol.4 Catalogue
061014 : vol.4 Catalogue > 카달로그_15",105270,정상,0
805,패커스,과세,5,46200,"95파이 다용도컵 세트 4호 대 270ml 블랙 PS-1,000개 1set(2박스)",1089,사용함,자체제작,"038 : 한식(분식) 용기
038002 : 한식(분식) 용기 > 소스/국/밥용기
039 : 중식 용기
039003 : 중식 용기 > 소스/국/밥용기
040 : 일식 용기
040002 : 일식 용기 > 소스/국/밥용기
041 : 양식 용기
041002 : 양식 용기 > 소스/국/밥용기
038003 : 한식(분식) 용기 > 떡/반찬용기
038003002 : 한식(분식) 용기 > 떡/반찬용기 > 반찬용기
061 : vol.4 Catalogue
061014 : vol.4 Catalogue > 카달로그_15",63620,정상,1
806,패커스,과세,24,49500,195파이 미니탕용기 투톤 300개 1set(2박스),1085,사용함,자체제작,"038 : 한식(분식) 용기
038001 : 한식(분식) 용기 > 탕/찜/죽/면용기
040 : 일식 용기
040001 : 일식 용기 > 탕/찜/면용기/회접시
041 : 양식 용기
041001 : 양식 용기 > 탕/찜/죽/면용기
038001001 : 한식(분식) 용기 > 탕/찜/죽/면용기 > 탕용기
040001001 : 일식 용기 > 탕/찜/면용기/회접시 > 탕용기
041001001 : 양식 용기 > 탕/찜/죽/면용기 > 탕용기
039 : 중식 용기
039001 : 중식 용기 > 면/볶음밥용기
040001002 : 일식 용기 > 탕/찜/면용기/회접시 > 찜용기
040001003 : 일식 용기 > 탕/찜/면용기/회접시 > 면용기
041001002 : 양식 용기 > 탕/찜/죽/면용기 > 찜용기
041001003 : 양식 용기 > 탕/찜/죽/면용기 > 죽용기
041001004 : 양식 용기 > 탕/찜/죽/면용기 > 면용기
061 : vol.4 Catalogue
061016 : vol.4 Catalogue > 카달로그_17",68970,정상,18
807,패커스,과세,12,68200,고강도 감자탕용기 소 200개 1set(2박스),1084,사용함,자체제작,"038 : 한식(분식) 용기
038001 : 한식(분식) 용기 > 탕/찜/죽/면용기
040 : 일식 용기
040001 : 일식 용기 > 탕/찜/면용기/회접시
041 : 양식 용기
041001 : 양식 용기 > 탕/찜/죽/면용기
038001001 : 한식(분식) 용기 > 탕/찜/죽/면용기 > 탕용기
040001001 : 일식 용기 > 탕/찜/면용기/회접시 > 탕용기
041001001 : 양식 용기 > 탕/찜/죽/면용기 > 탕용기
061 : vol.4 Catalogue
061017 : vol.4 Catalogue > 카달로그_18",87720,정상,8
808,패커스,과세,8,72600,고강도 감자탕용기 중 200개 1set(2박스),1083,사용함,자체제작,"038 : 한식(분식) 용기
038001 : 한식(분식) 용기 > 탕/찜/죽/면용기
040 : 일식 용기
040001 : 일식 용기 > 탕/찜/면용기/회접시
041 : 양식 용기
041001 : 양식 용기 > 탕/찜/죽/면용기
038001001 : 한식(분식) 용기 > 탕/찜/죽/면용기 > 탕용기
040001001 : 일식 용기 > 탕/찜/면용기/회접시 > 탕용기
041001001 : 양식 용기 > 탕/찜/죽/면용기 > 탕용기
061 : vol.4 Catalogue
061017 : vol.4 Catalogue > 카달로그_18",93120,정상,6
809,패커스,과세,2,77000,고강도 감자탕용기 대 200개 1set(2박스),1082,사용함,자체제작,"038 : 한식(분식) 용기
038001 : 한식(분식) 용기 > 탕/찜/죽/면용기
040 : 일식 용기
040001 : 일식 용기 > 탕/찜/면용기/회접시
041 : 양식 용기
041001 : 양식 용기 > 탕/찜/죽/면용기
038001001 : 한식(분식) 용기 > 탕/찜/죽/면용기 > 탕용기
040001001 : 일식 용기 > 탕/찜/면용기/회접시 > 탕용기
041001001 : 양식 용기 > 탕/찜/죽/면용기 > 탕용기
061 : vol.4 Catalogue
061017 : vol.4 Catalogue > 카달로그_18",100920,정상,1
